@relation pacman-data-weka.filters.unsupervised.attribute.Remove-R29-55-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42

@attribute PacmanPositionX numeric
@attribute PacmanPositionY numeric
@attribute LegalPacManNorth {0,1}
@attribute LegalPacManSouth {0,1}
@attribute LegalPacManWest {0,1}
@attribute LegalPacManEast {0,1}
@attribute Ghost1PositionX numeric
@attribute Ghost1PositionY numeric
@attribute Ghost2PositionX numeric
@attribute Ghost2PositionY numeric
@attribute Ghost3PositionX numeric
@attribute Ghost3PositionY numeric
@attribute Ghost4PositionX numeric
@attribute Ghost4PositionY numeric
@attribute Ghost1Distance numeric
@attribute Ghost2Distance numeric
@attribute Ghost3Distance numeric
@attribute Ghost4Distance numeric
@attribute Score numeric
@attribute DistanceFood numeric
@attribute RemainingFood numeric
@attribute class {North,South,West,East}

@data
3,9,1,1,1,0,-1,-1,5,8,3,10,-1,-1,-1,3,1,-1,376,-1,0,North
9,10,1,1,0,0,3,8,7,12,17,8,13,12,8,4,10,5,-6,-1,0,West
26,9,1,1,1,1,3,7,-1,-1,-1,-1,-1,-1,25,-1,-1,-1,533,-1,0,West
18,9,0,1,1,1,-1,-1,7,14,-1,-1,9,13,-1,16,-1,14,368,-1,0,North
14,8,0,1,1,1,5,9,11,3,-1,-1,-1,-1,10,8,-1,-1,369,-1,0,North
10,5,0,1,1,0,-1,-1,-1,-1,-1,-1,16,5,-1,-1,-1,7,2178,4,14,East
15,12,1,1,0,1,-1,-1,8,12,-1,-1,9,13,-1,7,-1,6,362,-1,0,North
1,4,1,1,1,0,1,3,2,3,5,9,6,6,1,2,9,7,-16,-1,0,South
7,5,0,1,1,0,-1,-1,1,2,-1,-1,17,5,-1,9,-1,9,2181,5,14,East
5,6,1,1,1,1,3,9,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,509,-1,0,West
4,3,1,1,1,1,-1,-1,-1,-1,5,9,6,6,-1,-1,7,5,380,-1,0,East
8,14,1,1,1,1,-1,-1,5,12,-1,-1,13,12,-1,5,-1,7,359,-1,0,East
6,12,1,1,0,1,-1,-1,5,12,-1,-1,13,12,-1,1,-1,7,355,-1,0,West
1,5,1,1,0,1,-1,-1,7,6,6,9,5,8,-1,7,9,6,185,-1,0,South
1,3,1,0,1,0,2,3,-1,-1,6,7,3,5,1,-1,9,3,183,-1,0,South
10,14,1,1,1,0,-1,-1,-1,-1,-1,-1,9,13,-1,-1,-1,3,552,-1,0,West
15,10,1,1,1,0,5,9,11,3,17,6,25,7,11,11,6,13,-4,-1,0,East
3,11,1,0,1,1,-1,-1,5,12,-1,-1,13,12,-1,3,-1,11,367,-1,0,North
27,11,1,1,1,1,3,6,-1,-1,-1,-1,-1,-1,29,-1,-1,-1,536,-1,0,West
1,7,0,1,1,1,1,3,2,3,5,9,6,6,4,5,6,6,-14,-1,0,South
3,8,1,1,1,1,-1,-1,5,12,-1,-1,13,12,-1,6,-1,14,370,-1,0,North
13,6,1,1,0,0,4,3,-1,-1,-1,-1,17,5,12,-1,-1,5,2765,1,73,South
14,7,0,1,1,0,4,6,10,4,-1,-1,-1,-1,11,7,-1,-1,370,-1,0,North
9,10,0,1,1,0,6,4,5,12,11,6,13,12,9,6,6,5,-6,-1,0,West
11,12,0,1,1,0,-1,-1,7,12,-1,-1,-1,-1,-1,4,-1,-1,552,-1,0,East
6,7,1,1,1,1,12,3,-1,-1,6,3,7,3,10,-1,4,6,2865,1,70,South
12,5,0,1,1,1,-1,-1,5,5,7,2,17,4,-1,7,8,6,1967,2,14,North
23,10,1,1,1,1,3,10,6,3,15,6,26,5,20,24,12,9,-12,-1,0,East
1,17,1,1,0,0,2,3,3,3,6,10,5,6,15,16,12,14,-3,-1,0,South
14,9,1,1,1,1,-1,-1,10,12,-1,-1,8,14,-1,7,-1,11,366,-1,0,North
11,3,1,0,1,0,5,9,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,561,-1,0,South
1,4,1,1,0,1,3,3,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,520,-1,0,West
3,5,0,1,1,1,-1,-1,-1,-1,12,4,17,3,-1,-1,10,15,1784,5,14,East
4,6,1,1,1,1,3,10,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,553,-1,0,West
16,10,1,1,1,0,5,9,11,3,17,6,25,7,12,12,5,12,-5,-1,0,East
21,6,0,1,1,0,5,9,11,3,17,6,-1,-1,19,13,4,-1,178,-1,0,West
