@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R3,48-51-weka.filters.unsupervised.attribute.Reorder-R1-46,48-last,47'

@attribute PacmanPositionX numeric
@attribute PacmanPositionY numeric
@attribute LegalPacManNorth {0,1}
@attribute LegalPacManSouth {0,1}
@attribute LegalPacManWest {0,1}
@attribute LegalPacManEast {0,1}
@attribute LegalPacManStop {0,1}
@attribute Ghost1PositionX numeric
@attribute Ghost1PositionY numeric
@attribute Ghost2PositionX numeric
@attribute Ghost2PositionY numeric
@attribute Ghost3PositionX numeric
@attribute Ghost3PositionY numeric
@attribute Ghost4PositionX numeric
@attribute Ghost4PositionY numeric
@attribute Ghost1Distance numeric
@attribute Ghost2Distance numeric
@attribute Ghost3Distance numeric
@attribute Ghost4Distance numeric
@attribute Ghost1Direction {North,South,West,East,Stop,Dead}
@attribute Ghost2Direction {North,South,West,East,Stop,Dead}
@attribute Ghost3Direction {North,South,West,East,Stop,Dead}
@attribute Ghost4Direction {North,South,West,East,Stop,Dead}
@attribute Score numeric
@attribute DistanceFood numeric
@attribute RemainingFood numeric
@attribute class {North,South,West,East}
@attribute NextPacmanPositionX numeric
@attribute NextPacmanPositionY numeric
@attribute NextLegalPacManNorth {0,1}
@attribute NextLegalPacManSouth {0,1}
@attribute NextLegalPacManWest {0,1}
@attribute NextLegalPacManEast {0,1}
@attribute NextLegalPacManStop {0,1}
@attribute NextGhost1PositionX numeric
@attribute NextGhost1PositionY numeric
@attribute NextGhost2PositionX numeric
@attribute NextGhost2PositionY numeric
@attribute NextGhost3PositionX numeric
@attribute NextGhost3PositionY numeric
@attribute NextGhost4PositionX numeric
@attribute NextGhost4PositionY numeric
@attribute NextGhost1Distance numeric
@attribute NextGhost2Distance numeric
@attribute NextGhost3Distance numeric
@attribute NextGhost4Distance numeric
@attribute NextDistanceFood numeric
@attribute NextRemainingFood numeric
@attribute NextPacmanDirection {North,South,West,East}
@attribute NextScore numeric

@data
16,10,1,1,1,1,0,5,10,10,3,15,6,24,7,11,13,5,10,West,West,West,West,-4,-1,0,East,17,10,1,1,1,1,0,4,10,10,4,16,6,23,7,13,13,5,10,-1,0,East,-5
17,10,1,1,1,1,0,4,10,10,4,16,6,23,7,13,13,5,10,West,North,East,East,-5,-1,0,East,18,10,1,1,1,1,0,4,9,11,4,16,6,24,7,15,13,6,10,-1,0,East,-6
18,10,1,1,1,1,0,4,9,11,4,16,6,24,7,15,13,6,10,South,East,East,East,-6,-1,0,East,19,10,1,1,1,1,0,5,9,11,4,16,6,25,7,15,14,7,10,-1,0,East,-7
19,10,1,1,1,1,0,5,9,11,4,16,6,25,7,15,14,7,10,East,East,East,South,-7,-1,0,East,20,10,1,1,1,1,0,5,9,11,5,15,6,25,6,16,14,9,10,-1,0,East,-8
20,10,1,1,1,1,0,5,9,11,5,15,6,25,6,16,14,9,10,East,North,West,South,-8,-1,0,East,21,10,1,0,1,1,0,5,8,11,4,15,6,25,5,18,16,10,10,-1,0,East,-9
21,10,1,0,1,1,0,5,8,11,4,15,6,25,5,18,16,10,10,South,South,West,South,-9,-1,0,East,22,10,1,1,1,1,0,5,7,11,5,16,6,25,4,20,16,10,8,-1,0,East,-10
22,10,1,1,1,1,0,5,7,11,5,16,6,25,4,20,16,10,8,South,North,East,West,-10,-1,0,East,23,10,1,1,1,1,1,5,6,11,4,15,6,24,4,22,18,12,8,-1,0,East,-11
23,10,1,1,1,1,1,5,6,11,4,15,6,24,4,22,18,12,8,South,South,West,South,-11,-1,0,East,24,10,1,1,1,1,1,6,6,11,3,14,6,24,3,22,20,14,8,-1,0,East,-12
24,10,1,1,1,1,1,6,6,11,3,14,6,24,3,22,20,14,8,East,South,West,East,-12,-1,0,East,24,9,1,1,1,1,1,6,6,11,4,13,6,25,3,21,18,14,6,-1,0,South,-13
24,9,1,1,1,1,1,6,6,11,4,13,6,25,3,21,18,14,6,East,North,West,West,-13,-1,0,South,24,8,1,1,1,1,1,6,6,11,4,13,5,24,3,20,17,14,6,-1,0,South,-14
24,8,1,1,1,1,1,6,6,11,4,13,5,24,3,20,17,14,6,East,North,South,East,-14,-1,0,South,24,7,1,1,1,1,1,6,6,10,4,13,4,25,3,19,17,14,5,-1,0,South,-15
24,7,1,1,1,1,1,6,6,10,4,13,4,25,3,19,17,14,5,East,West,South,East,-15,-1,0,South,24,6,1,1,1,1,1,7,6,11,4,14,4,25,3,17,15,12,3,-1,0,South,-16
24,6,1,1,1,1,1,7,6,11,4,14,4,25,3,17,15,12,3,East,East,East,North,-16,-1,0,South,24,5,1,1,1,1,1,8,6,11,3,13,4,25,4,17,15,12,2,-1,0,South,-17
24,5,1,1,1,1,1,8,6,11,3,13,4,25,4,17,15,12,2,East,South,West,North,-17,-1,0,South,24,4,1,1,1,1,1,9,6,11,4,13,4,25,4,17,13,11,2,-1,0,South,-18
24,4,1,1,1,1,1,9,6,11,4,13,4,25,4,17,13,11,2,East,North,West,East,-18,-1,0,South,24,3,1,1,1,1,0,9,6,11,3,13,5,26,4,18,13,13,4,-1,0,South,-19
24,3,1,1,1,1,0,9,6,11,3,13,5,26,4,18,13,13,4,East,South,North,East,-19,-1,0,South,25,3,1,1,1,1,0,9,5,10,3,13,4,27,4,18,15,13,4,-1,0,East,-20
25,3,1,1,1,1,0,9,5,10,3,13,4,27,4,18,15,13,4,South,West,South,East,-20,-1,0,East,25,4,1,1,1,1,1,9,4,9,3,13,5,28,4,16,17,13,3,-1,0,North,-21
25,4,1,1,1,1,1,9,4,9,3,13,5,28,4,16,17,13,3,South,West,North,East,-21,-1,0,North,26,4,1,1,1,1,1,8,4,9,4,13,6,28,4,18,17,15,3,-1,0,East,-22
26,4,1,1,1,1,1,8,4,9,4,13,6,28,4,18,17,15,3,West,North,North,South,-22,-1,0,East,27,4,1,1,1,1,1,9,4,9,3,13,5,28,3,18,19,15,1,-1,0,East,-23
27,4,1,1,1,1,1,9,4,9,3,13,5,28,3,18,19,15,1,East,South,South,North,-23,-1,0,East,28,4,1,1,1,0,1,9,5,10,3,13,5,-1,-1,20,19,16,-1,-1,0,East,176
28,4,1,1,1,0,1,9,5,10,3,13,5,-1,-1,20,19,16,-1,North,East,South,Dead,176,-1,0,East,28,3,1,1,1,0,1,8,5,11,3,13,6,-1,-1,22,17,18,-1,-1,0,South,175
28,3,1,1,1,0,1,8,5,11,3,13,6,-1,-1,22,17,18,-1,West,East,North,Dead,175,-1,0,South,27,3,1,1,1,1,1,8,6,11,3,14,6,-1,-1,22,16,16,-1,-1,0,West,174
27,3,1,1,1,1,1,8,6,11,3,14,6,-1,-1,22,16,16,-1,North,East,East,Dead,174,-1,0,West,26,3,1,1,1,1,0,7,6,11,3,14,7,-1,-1,22,15,16,-1,-1,0,West,173
26,3,1,1,1,1,0,7,6,11,3,14,7,-1,-1,22,15,16,-1,West,East,North,Dead,173,-1,0,West,25,3,1,1,1,1,0,6,6,11,4,14,8,-1,-1,22,15,16,-1,-1,0,West,172
25,3,1,1,1,1,0,6,6,11,4,14,8,-1,-1,22,15,16,-1,West,North,North,Dead,172,-1,0,West,24,3,1,1,1,1,0,6,7,10,4,14,7,-1,-1,22,15,14,-1,-1,0,West,171
24,3,1,1,1,1,0,6,7,10,4,14,7,-1,-1,22,15,14,-1,North,West,South,Dead,171,-1,0,West,23,3,1,1,1,1,0,6,6,10,5,14,8,-1,-1,20,15,14,-1,-1,0,West,170
23,3,1,1,1,1,0,6,6,10,5,14,8,-1,-1,20,15,14,-1,South,North,North,Dead,170,-1,0,West,22,3,1,1,1,1,0,6,7,10,6,15,8,-1,-1,20,15,12,-1,-1,0,West,169
22,3,1,1,1,1,0,6,7,10,6,15,8,-1,-1,20,15,12,-1,North,North,East,Dead,169,-1,0,West,21,3,1,1,1,1,0,6,7,10,7,14,8,-1,-1,19,15,12,-1,-1,0,West,168
21,3,1,1,1,1,0,6,7,10,7,14,8,-1,-1,19,15,12,-1,North,North,West,Dead,168,-1,0,West,20,3,1,1,1,1,0,6,8,11,7,14,8,-1,-1,19,13,11,-1,-1,0,West,167
20,3,1,1,1,1,0,6,8,11,7,14,8,-1,-1,19,13,11,-1,North,East,West,Dead,167,-1,0,West,20,4,1,1,1,1,1,5,8,11,8,15,8,-1,-1,19,13,9,-1,-1,0,North,166
